sample name,peak location (cm^-1),temperature (Celsius),hours dehydrated,traverse direction,raypath direction,position (microns),area (cm^-2) or height (/cm),area/initial or height/initial,FTIR spectrum filename,
SC1-2,total H,800.0,13.0,b,c,-89.3,15.035,0.598,SC1-2-800C-13hr-b09.csv,
SC1-2,total H,800.0,13.0,b,c,110.7,14.157,0.559,SC1-2-800C-13hr-b11.csv,
SC1-2,total H,800.0,13.0,b,c,310.7,13.595,0.533,SC1-2-800C-13hr-b13.csv,
SC1-2,total H,800.0,13.0,b,c,510.7,12.661,0.493,SC1-2-800C-13hr-b15.csv,
SC1-2,total H,800.0,13.0,b,c,810.7,11.789,0.454,SC1-2-800C-13hr-b18.csv,
SC1-2,total H,800.0,13.0,c,b,-1355.7,17.910,0.795,SC1-2-800C-13hr-c00.csv,
SC1-2,total H,800.0,13.0,c,b,-1205.7,10.615,0.466,SC1-2-800C-13hr-c02.csv,
SC1-2,total H,800.0,13.0,c,b,-1005.7,11.590,0.501,SC1-2-800C-13hr-c04.csv,
SC1-2,total H,800.0,13.0,c,b,-805.7,11.938,0.509,SC1-2-800C-13hr-c06.csv,
SC1-2,total H,800.0,13.0,c,b,-605.7,12.506,0.526,SC1-2-800C-13hr-c08.csv,
SC1-2,total H,800.0,13.0,c,b,-405.7,13.162,0.546,SC1-2-800C-13hr-c10.csv,
SC1-2,total H,800.0,13.0,c,b,-205.7,13.074,0.535,SC1-2-800C-13hr-c12.csv,
SC1-2,total H,800.0,13.0,c,b,194.3,13.803,0.549,SC1-2-800C-13hr-c16.csv,
SC1-2,total H,800.0,13.0,c,b,394.3,13.878,0.545,SC1-2-800C-13hr-c18.csv,
SC1-2,total H,800.0,13.0,c,b,594.3,14.936,0.579,SC1-2-800C-13hr-c20.csv,
SC1-2,total H,800.0,13.0,c,b,794.3,14.876,0.569,SC1-2-800C-13hr-c22.csv,
SC1-2,total H,800.0,13.0,c,b,994.3,14.931,0.564,SC1-2-800C-13hr-c24.csv,
SC1-2,total H,800.0,13.0,c,b,1144.3,16.577,0.620,SC1-2-800C-13hr-c2526.csv,
SC1-2,total H,800.0,13.0,c,b,1355.3,20.069,0.741,SC1-2-800C-13hr-c27.csv,
SC1-2,total H,800.0,19.0,a,b,-1000.0,6.883,0.294,SC1-2-800C-19hr-a01.csv,
SC1-2,total H,800.0,19.0,a,b,-800.0,9.023,0.377,SC1-2-800C-19hr-a03.csv,
SC1-2,total H,800.0,19.0,a,b,-600.0,10.702,0.437,SC1-2-800C-19hr-a05.csv,
SC1-2,total H,800.0,19.0,a,b,-400.0,11.871,0.475,SC1-2-800C-19hr-a07.csv,
SC1-2,total H,800.0,19.0,a,b,-200.0,12.729,0.498,SC1-2-800C-19hr-a09.csv,
SC1-2,total H,800.0,19.0,a,b,0.0,13.571,0.520,SC1-2-800C-19hr-a11.csv,
SC1-2,total H,800.0,19.0,a,b,200.0,14.160,0.532,SC1-2-800C-19hr-a13.csv,
SC1-2,total H,800.0,19.0,a,b,400.0,13.772,0.507,SC1-2-800C-19hr-a15.csv,
SC1-2,total H,800.0,19.0,a,b,600.0,13.807,0.498,SC1-2-800C-19hr-a17.csv,
SC1-2,total H,800.0,19.0,a,b,800.0,13.348,0.472,SC1-2-800C-19hr-a19.csv,
SC1-2,total H,800.0,19.0,a,b,1000.0,12.368,0.429,SC1-2-800C-19hr-a21.csv,
SC1-2,total H,800.0,19.0,b,c,-889.3,9.447,0.387,SC1-2-800C-19hr-b01.csv,
SC1-2,total H,800.0,19.0,b,c,-689.3,10.692,0.435,SC1-2-800C-19hr-b03.csv,
SC1-2,total H,800.0,19.0,b,c,-489.3,11.316,0.457,SC1-2-800C-19hr-b05.csv,
SC1-2,total H,800.0,19.0,b,c,-289.3,11.889,0.476,SC1-2-800C-19hr-b07.csv,
SC1-2,total H,800.0,19.0,b,c,110.7,13.141,0.519,SC1-2-800C-19hr-b11.csv,
SC1-2,total H,800.0,19.0,b,c,310.7,13.255,0.519,SC1-2-800C-19hr-b13.csv,
SC1-2,total H,800.0,19.0,b,c,510.7,13.467,0.524,SC1-2-800C-19hr-b15.csv,
SC1-2,total H,800.0,19.0,b,c,810.7,14.154,0.545,SC1-2-800C-19hr-b18.csv,
