name,IGSN,microns,traverse,Fo,Li,MgO,Al,SiO2,P,CaO,Sc,Ti,V,Cr,MnO,FeO,Co,Ni,Cu,Zn
Kikin,IEMN1KI02,43,a-axis,86.022,0.612,45.123,203.062,39.581,47.122,0.245,4.538,112.639,6.801,499.093,0.177,13.069,169.485,2633,3.881,106.093
Kikin,IEMN1KI02,866,c-axis,84.743,1.557,45.324,334.985,40.754,80.126,0.342,5.515,100.543,9.061,481.816,0.197,14.544,172.715,2709.843,4.429,127.855
Kikin,IEMN1KI02,848,c-axis,84.360,2.034,45.712,353.010,40.939,82.670,0.329,5.163,110.366,8.950,486.120,0.198,15.106,174.980,2710.280,4.836,128.387
Kikin,IEMN1KI02,830,c-axis,84.626,1.600,45.906,353.329,40.719,68.795,0.358,5.275,108.832,9.189,491.020,0.198,14.865,169.180,2669.787,5.345,124.553
Kikin,IEMN1KI02,812,c-axis,84.332,1.167,45.129,352.425,40.914,73.188,0.295,4.988,108.908,9.041,503.925,0.195,14.945,172.962,2664.838,5.155,123.679
Kikin,IEMN1KI02,794,c-axis,84.681,1.427,46.101,352.485,40.670,87.989,0.266,5.515,104.994,9.058,474.378,0.200,14.865,168.996,2640.516,5.103,124.298
Kikin,IEMN1KI02,776,c-axis,84.393,1.210,45.583,340.973,39.487,68.795,0.332,5.203,108.600,9.596,503.967,0.202,15.025,169.163,2707.035,4.931,122.360
Kikin,IEMN1KI02,757,c-axis,84.332,1.080,45.129,349.794,40.024,79.202,0.277,5.244,109.982,8.994,479.487,0.194,14.945,167.393,2633.629,5.397,117.822
Kikin,IEMN1KI02,739,c-axis,84.534,1.297,45.583,336.587,39.063,66.714,0.304,5.110,106.068,9.028,499.368,0.200,14.865,169.527,2587.203,5.216,124.490
Kikin,IEMN1KI02,721,c-axis,84.682,1.297,44.612,333.346,39.314,65.789,0.307,5.194,104.994,8.379,463.545,0.190,14.384,168.712,2645.817,5.760,118.099
Kikin,IEMN1KI02,703,c-axis,84.432,0.777,44.741,334.077,38.854,61.395,0.325,5.157,105.761,9.054,499.242,0.198,14.705,166.638,2552.304,4.991,121.145
Kikin,IEMN1KI02,685,c-axis,84.389,1.167,44.353,324.354,38.828,54.921,0.303,5.269,107.450,9.182,465.083,0.194,14.624,164.594,2611.781,4.922,117.525
Kikin,IEMN1KI02,666,c-axis,84.331,1.167,44.158,328.440,39.736,61.164,0.354,5.191,105.608,8.144,491.338,0.195,14.624,170.651,2598.110,4.654,125.448
Kikin,IEMN1KI02,648,c-axis,84.694,0.994,45.647,319.598,39.211,59.545,0.306,5.082,110.059,9.061,489.065,0.197,14.705,169.036,2593.311,4.663,125.086
Kikin,IEMN1KI02,630,c-axis,84.719,0.864,44.741,316.091,39.570,70.414,0.307,4.904,114.510,8.611,520.065,0.190,14.384,164.048,2599.246,4.369,118.802
Kikin,IEMN1KI02,612,c-axis,84.206,0.994,44.223,307.483,39.232,58.851,0.285,5.066,104.380,8.651,452.825,0.192,14.785,167.019,2568.407,5.129,121.635
Kikin,IEMN1KI02,594,c-axis,84.808,0.907,44.547,298.493,38.720,59.314,0.315,5.160,99.009,8.332,434.896,0.194,14.224,161.870,2572.474,4.403,121.231
Kikin,IEMN1KI02,575,c-axis,84.615,1.297,43.641,282.944,39.106,65.095,0.322,4.826,104.150,8.473,429.291,0.189,14.143,166.833,2551.724,4.784,121.060
Kikin,IEMN1KI02,557,c-axis,84.579,0.994,45.000,301.588,39.361,62.320,0.334,5.044,102.768,8.332,498.018,0.198,14.624,168.089,2557.869,4.913,117.290
Kikin,IEMN1KI02,539,c-axis,84.622,0.864,44.158,289.387,38.378,55.151,0.314,4.917,98.472,8.352,448.570,0.195,14.304,163.229,2584.857,5.155,119.505
Kikin,IEMN1KI02,521,c-axis,84.222,1.037,43.317,282.711,39.189,70.414,0.312,4.892,109.752,8.658,460.331,0.189,14.464,164.766,2528.573,4.386,116.822
Kikin,IEMN1KI02,503,c-axis,84.733,0.820,44.288,282.067,38.703,52.377,0.318,4.829,109.138,8.026,456.358,0.192,14.224,163.147,2525.231,4.827,122.359
Kikin,IEMN1KI02,484,c-axis,84.404,1.340,44.158,292.339,39.145,43.359,0.316,5.088,109.982,8.402,495.593,0.194,14.544,169.120,2557.271,4.741,117.675
Kikin,IEMN1KI02,466,c-axis,84.399,0.950,43.899,299.806,39.119,50.990,0.299,4.963,105.838,8.352,480.026,0.192,14.464,166.504,2525.944,4.663,120.037
Kikin,IEMN1KI02,448,c-axis,84.641,0.647,44.223,286.155,39.715,49.602,0.352,5.069,107.527,8.463,471.391,0.195,14.304,166.885,2602.513,5.034,118.376
Kikin,IEMN1KI02,430,c-axis,84.192,0.864,44.417,294.292,40.549,59.777,0.339,5.341,110.519,8.238,467.258,0.200,14.865,166.824,2566.598,4.343,121.017
Kikin,IEMN1KI02,412,c-axis,84.306,0.777,43.835,283.123,38.311,54.689,0.309,5.163,110.980,8.268,485.991,0.197,14.544,164.267,2552.222,4.317,118.057
Kikin,IEMN1KI02,393,c-axis,84.518,0.777,44.547,280.500,39.769,59.083,0.332,4.907,111.440,8.903,459.579,0.194,14.544,171.864,2601.100,4.715,119.314
Kikin,IEMN1KI02,375,c-axis,84.250,0.734,44.612,293.596,39.363,69.257,0.334,5.203,111.825,8.644,469.455,0.198,14.865,167.858,2549.970,4.464,120.464
Kikin,IEMN1KI02,357,c-axis,84.587,1.297,44.288,272.567,39.117,71.107,0.343,5.521,111.671,8.476,474.935,0.195,14.384,166.425,2571.057,4.896,119.271
Kikin,IEMN1KI02,339,c-axis,84.461,0.690,44.353,285.947,40.035,71.108,0.327,5.244,121.417,8.460,504.616,0.192,14.544,167.383,2571.857,4.602,115.140
Kikin,IEMN1KI02,321,c-axis,84.672,1.037,45.324,285.071,39.617,61.396,0.367,5.172,118.962,8.191,489.478,0.195,14.624,168.785,2549.162,4.602,119.292
Kikin,IEMN1KI02,303,c-axis,84.433,0.950,43.770,270.815,38.851,57.695,0.360,4.783,113.359,8.406,479.812,0.197,14.384,166.560,2543.478,4.801,115.566
Kikin,IEMN1KI02,284,c-axis,84.360,1.210,44.741,286.502,39.822,66.714,0.349,5.375,112.975,8.413,492.360,0.195,14.785,166.942,2554.344,4.697,118.313
Kikin,IEMN1KI02,266,c-axis,84.650,0.950,45.000,280.814,39.000,53.071,0.349,5.048,120.036,8.816,484.483,0.194,14.544,163.459,2571.668,5.484,118.014
Kikin,IEMN1KI02,248,c-axis,84.231,0.907,44.547,279.737,39.155,59.083,0.374,5.412,122.031,8.238,484.088,0.198,14.865,171.280,2577.500,4.749,121.018
Kikin,IEMN1KI02,230,c-axis,84.728,1.124,45.518,270.432,39.183,66.483,0.351,4.985,118.424,8.188,511.758,0.202,14.624,168.326,2583.994,4.524,123.318
Kikin,IEMN1KI02,211,c-axis,84.733,0.690,44.288,274.667,39.849,68.564,0.380,5.362,122.952,7.979,539.470,0.195,14.224,166.876,2594.719,4.308,115.416
Kikin,IEMN1KI02,193,c-axis,84.336,1.124,44.417,290.439,39.486,63.939,0.355,5.306,111.901,8.251,523.859,0.198,14.705,166.633,2516.613,4.879,120.272
Kikin,IEMN1KI02,175,c-axis,84.587,0.647,44.288,272.151,38.463,53.302,0.340,5.063,124.641,7.472,486.656,0.195,14.384,165.733,2544.916,5.112,117.588
Kikin,IEMN1KI02,157,c-axis,84.487,1.210,43.705,277.288,39.880,68.795,0.351,4.854,120.957,8.006,513.919,0.192,14.304,168.949,2551.651,4.974,114.310
Kikin,IEMN1KI02,139,c-axis,84.759,0.560,45.129,262.447,39.232,62.088,0.367,5.456,120.880,7.284,528.448,0.195,14.464,168.360,2556.069,4.663,115.565
Kikin,IEMN1KI02,120,c-axis,84.936,1.167,44.741,261.365,39.784,52.377,0.349,5.322,113.973,7.885,513.209,0.190,14.143,164.568,2571.464,4.429,114.650
Kikin,IEMN1KI02,102,c-axis,84.845,1.384,44.676,264.957,39.536,57.927,0.340,4.742,118.501,7.442,530.668,0.192,14.224,167.981,2566.209,4.611,113.989
Kikin,IEMN1KI02,84,c-axis,85.155,0.604,45.259,264.719,39.257,50.527,0.350,5.250,118.270,7.650,511.603,0.194,14.063,163.564,2521.476,4.870,114.650
Kikin,IEMN1KI02,66,c-axis,84.959,1.037,45.583,257.697,40.533,50.527,0.319,5.166,103.153,7.297,511.101,0.195,14.384,167.904,2597.710,4.784,116.163
SC1-2,IEFERJAI4,1141,a-axis,88.875,,46.139,,38.784,55.846,,4.105,43.167,2.747,103.766,0.152,10.294,140.008,2420,,72.903
SC1-2,IEFERJAI4,1124,a-axis,88.769,,47.358,,38.784,55.716,,4.143,41.943,2.620,100.522,0.150,10.680,140.614,2439,,73.904
SC1-2,IEFERJAI4,1106,a-axis,88.931,,47.129,,38.784,49.797,,3.947,41.499,2.744,104.511,0.155,10.456,139.597,2447,,76.857
SC1-2,IEFERJAI4,1089,a-axis,88.764,,46.882,,38.784,54.527,,4.004,40.173,2.714,102.751,0.153,10.578,139.634,2474,,75.065
SC1-2,IEFERJAI4,1072,a-axis,88.718,,46.932,,38.784,56.954,,3.754,40.952,2.622,104.932,0.151,10.638,138.816,2446,,77.226
SC1-2,IEFERJAI4,1055,a-axis,88.778,,47.042,,38.784,51.179,,3.664,39.517,2.499,104.107,0.154,10.599,139.987,2454,,73.782
SC1-2,IEFERJAI4,1037,a-axis,88.653,,46.744,,38.784,45.521,,3.558,40.561,2.670,102.169,0.153,10.664,141.060,2382,,73.995
